Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.8068E-4,8.250818396,0.251094099,0.635720601,0.038167939,0
3.85647E-4,8.518616477,0.253914051,0.629531388,0.038167939,0
3.89594E-4,8.751178022,0.256147397,0.624226348,0.038167939,0
3.93832E-4,9.025878212,0.2585381,0.618037135,0.038167939,0
4.02624E-4,9.264857744,0.263473085,0.612732095,0.045801527,0
4.10469E-4,9.509030279,0.267848802,0.607427056,0.045801527,0
4.14862E-4,9.756349523,0.270287469,0.602122016,0.045801527,0
4.18429E-4,10.006893839,0.2722616,0.596816976,0.045801527,0
4.22961E-4,10.259202926,0.274762312,0.591511936,0.045801527,0
4.30149E-4,10.515174248,0.278711351,0.586206897,0.045801527,0
4.35738E-4,10.775182504,0.281766575,0.580901857,0.053435115,0
4.40906E-4,11.038093875,0.284580683,0.575596817,0.053435115,0
4.46985E-4,11.260308671,0.287876245,0.57117595,0.053435115,0
4.52645E-4,11.530586569,0.290930878,0.565870911,0.053435115,0
4.56522E-4,11.757601826,0.293015834,0.561450044,0.053435115,0
4.63707E-4,12.034288773,0.296863559,0.556145004,0.053435115,0
4.78467E-4,12.271110719,0.304702249,0.551724138,0.053435115,0
4.83457E-4,12.511857013,0.307332502,0.547303271,0.061068702,0
4.96221E-4,12.757784439,0.314015619,0.542882405,0.06870229,0
5.02859E-4,13.007514056,0.317465083,0.538461538,0.06870229,0
5.10692E-4,13.261429449,0.321513755,0.534040672,0.06870229,0
5.14207E-4,13.517757446,0.32332277,0.529619805,0.06870229,0
5.30361E-4,13.779861545,0.331574828,0.525198939,0.06870229,0
5.43951E-4,14.049655202,0.338438757,0.520778073,0.06870229,0
5.48215E-4,14.268313763,0.34057795,0.517241379,0.06870229,0
5.56272E-4,14.544814091,0.344600928,0.512820513,0.076335878,0
5.59428E-4,14.768310046,0.346170285,0.50928382,0.076335878,0
5.65094E-4,15.04994154,0.348977928,0.504862953,0.076335878,0
5.66624E-4,15.276440839,0.349734029,0.50132626,0.076335878,0
5.72691E-4,15.504349878,0.352723854,0.497789567,0.076335878,0
5.80829E-4,15.793285192,0.356712457,0.4933687,0.076335878,0
5.83748E-4,16.026343984,0.358136944,0.489832007,0.076335878,0
5.98053E-4,16.263820934,0.365073138,0.486295314,0.076335878,0
5.99807E-4,16.503500475,0.365918638,0.482758621,0.076335878,0
6.12071E-4,16.806905723,0.371797617,0.478337754,0.083969466,0
6.20681E-4,17.053401449,0.375892544,0.474801061,0.083969466,0
6.25697E-4,17.302542949,0.378265735,0.471264368,0.083969466,0
6.35488E-4,17.55497859,0.382872336,0.467727675,0.083969466,0
6.41503E-4,17.81068283,0.385685191,0.464190981,0.091603053,0
6.45092E-4,18.004101248,0.387357329,0.461538462,0.091603053,0
6.50783E-4,18.263303938,0.38999977,0.458001768,0.091603053,0
6.55543E-4,18.524486662,0.3922012,0.454465075,0.091603053,0
6.66828E-4,18.788898015,0.397388807,0.450928382,0.099236641,0
6.72841E-4,19.057666999,0.400134957,0.447391689,0.099236641,0
