X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
76.0,76.0,train,0.0010776551008085161,32.82450530800266,0.5589173898974051
77.0,77.0,train,9.5278877697289E-4,27.57975947150433,0.5150366800665169
78.0,78.0,train,0.0010666704230346063,32.399950886213674,0.5552219053204044
79.0,79.0,train,0.0030701773128353066,89.33792810832594,0.9028913824059746
80.0,80.0,train,0.0024981734316631274,81.61458338866242,0.8500517179092735
81.0,81.0,train,0.0019481260407484826,64.191400162304,0.7722897643668415
82.0,82.0,train,0.0013090352288728402,41.448430009389796,0.6300049904581231
83.0,83.0,train,6.73517105507245E-4,19.072071261613573,0.4004427246964394
84.0,84.0,train,0.001835449768783668,60.40305185447641,0.7519435953613172
85.0,85.0,train,6.572836372442177E-4,18.565270379219832,0.39300443110605154
