species,longitude,latitude
Brachynopus_scutellaris,169.3867,-44.0764
Brachynopus_scutellaris,169.3867,-44.0764
Brachynopus_scutellaris,168.1447,-46.8881
Brachynopus_scutellaris,171.2603,-43.8894
Brachynopus_scutellaris,171.2603,-43.8894
Brachynopus_scutellaris,172.1919,-41.1344
Brachynopus_scutellaris,169.0175,-45.5547
Brachynopus_scutellaris,172.1483,-42.3497
Brachynopus_scutellaris,172.1483,-42.3497
Brachynopus_scutellaris,171.3486,-42.5531
Brachynopus_scutellaris,171.3486,-42.5531
Brachynopus_scutellaris,168.4194,-46.4306
Brachynopus_scutellaris,168.1225,-46.8672
Brachynopus_scutellaris,168.1256,-46.9017
Brachynopus_scutellaris,168.1303,-46.9281
Brachynopus_scutellaris,171.3611,-42.1164
Brachynopus_scutellaris,171.3633,-42.1167
Brachynopus_scutellaris,172.8894,-40.945
Brachynopus_scutellaris,172.7183,-40.8086
Brachynopus_scutellaris,173.3708,-41.2925
Brachynopus_scutellaris,172.7183,-40.8086
Brachynopus_scutellaris,173.3708,-41.2925
Brachynopus_scutellaris,172.8894,-40.945
Brachynopus_scutellaris,173.7878,-42.2361
Brachynopus_scutellaris,173.7878,-42.2361
Brachynopus_scutellaris,175.1461,-41.2558
Brachynopus_scutellaris,175.1461,-41.2558
Brachynopus_scutellaris,174.1064,-41.2836
Brachynopus_scutellaris,174.1064,-41.2836
Brachynopus_scutellaris,175.3644,-41.41
Brachynopus_scutellaris,175.3644,-41.41
Brachynopus_scutellaris,172.6039,-40.5536
Brachynopus_scutellaris,172.6039,-40.5536
Brachynopus_scutellaris,176.0558,-40.5619
Brachynopus_scutellaris,176.0558,-40.5619
Brachynopus_scutellaris,172.7067,-40.7689
Brachynopus_scutellaris,172.7067,-40.7689
Brachynopus_scutellaris,175.3592,-41.4206
Brachynopus_scutellaris,175.3592,-41.4206
Brachynopus_scutellaris,173.8686,-41.7008
Brachynopus_scutellaris,173.8686,-41.7008
Brachynopus_scutellaris,175.9567,-41.0281
Brachynopus_scutellaris,175.9567,-41.0281
Brachynopus_scutellaris,175.5022,-40.9931
Brachynopus_scutellaris,175.5022,-40.9931
Brachynopus_scutellaris,174.7994,-39.0203
Brachynopus_scutellaris,174.7994,-39.0203
Brachynopus_scutellaris,176.0139,-39.9608
Brachynopus_scutellaris,176.0139,-39.9608
Brachynopus_scutellaris,174.1064,-41.2836
Brachynopus_scutellaris,173.5792,-41.21
Brachynopus_scutellaris,173.5792,-41.21
Brachynopus_scutellaris,172.7478,-41.1922
Brachynopus_scutellaris,172.7478,-41.1922
Brachynopus_scutellaris,174.0647,-41.2528
Brachynopus_scutellaris,174.0647,-41.2528
Brachynopus_scutellaris,173.1467,-42.4822
Brachynopus_scutellaris,173.1467,-42.4822
Brachynopus_scutellaris,172.5756,-40.7147
Brachynopus_scutellaris,172.5756,-40.7147
Brachynopus_scutellaris,172.5008,-40.6239
Brachynopus_scutellaris,172.5008,-40.6239
Brachynopus_scutellaris,169.1333,-43.9375
Brachynopus_scutellaris,169.1333,-43.9375
Brachynopus_scutellaris,173.7381,-42.2703
Brachynopus_scutellaris,172.5475,-40.6197
Brachynopus_scutellaris,173.7914,-42.2333
Brachynopus_scutellaris,169.3036,-44.1553
Brachynopus_scutellaris,173.5728,-41.2986
Brachynopus_scutellaris,173.5728,-41.2986
Brachynopus_scutellaris,173.8306,-42.2447
Brachynopus_scutellaris,173.8306,-42.2447
Brachynopus_scutellaris,168.9003,-43.91
Brachynopus_scutellaris,168.9003,-43.91
Brachynopus_scutellaris,173.5917,-41.2158
Brachynopus_scutellaris,173.5917,-41.2158
Brachynopus_scutellaris,174.0475,-41.3897
Brachynopus_scutellaris,174.0475,-41.3897
Brachynopus_scutellaris,173.3708,-41.2925
Brachynopus_scutellaris,173.3708,-41.2925
Brachynopus_scutellaris,174.0578,-41.385
Brachynopus_scutellaris,174.0578,-41.385
Brachynopus_scutellaris,169.1497,-43.7592
Brachynopus_scutellaris,169.1497,-43.7592
Brachynopus_scutellaris,175.5022,-40.9931
Brachynopus_scutellaris,175.5022,-40.9931
Brachynopus_scutellaris,174.7994,-39.0203
Brachynopus_scutellaris,174.7994,-39.0203
Brachynopus_scutellaris,174.7994,-39.0203
Brachynopus_scutellaris,174.1239,-39.2228
Brachynopus_scutellaris,173.0647,-34.7978
Brachynopus_scutellaris,173.0647,-34.7978
Brachynopus_scutellaris,173.1069,-34.855
Brachynopus_scutellaris,173.1069,-34.855
Brachynopus_scutellaris,173.8594,-42.2156
Brachynopus_scutellaris,173.8594,-42.2156
Brachynopus_scutellaris,173.9272,-41.2628
Brachynopus_scutellaris,173.9272,-41.2628
Brachynopus_scutellaris,172.6739,-40.5039
Brachynopus_scutellaris,172.6739,-40.5039
Brachynopus_scutellaris,174.9325,-40.8519
Brachynopus_scutellaris,174.9325,-40.8519
Brachynopus_scutellaris,172.8436,-41.8058
Brachynopus_scutellaris,172.8436,-41.8058
Brachynopus_scutellaris,172.9006,-41.0317
