Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.63324E-3,57.144964892,0.696534865,0.150326797,0.492957746,0
1.63475E-3,57.30843999,0.696869716,0.149393091,0.492957746,0
1.63769E-3,57.635882171,0.697519612,0.147525677,0.492957746,0
1.63945E-3,57.799827043,0.69790767,0.14659197,0.492957746,0
1.65396E-3,58.130236728,0.701091097,0.144724556,0.521126761,0
1.65397E-3,58.295634093,0.701094491,0.14379085,0.535211268,0
1.66764E-3,58.62779994,0.704061364,0.141923436,0.535211268,0
1.67668E-3,58.795467718,0.706008642,0.140989729,0.535211268,0
1.6848E-3,59.131927999,0.707747226,0.139122316,0.535211268,0
1.68861E-3,59.300789134,0.708559104,0.138188609,0.535211268,0
1.69746E-3,59.639715755,0.710436546,0.136321195,0.535211268,0
1.70051E-3,59.809766935,0.711080453,0.135387488,0.535211268,0
1.70382E-3,60.15034334,0.711777177,0.133520075,0.549295775,0
1.70434E-3,60.320777656,0.711887553,0.132586368,0.549295775,0
1.72259E-3,60.664615479,0.71570055,0.130718954,0.549295775,0
1.72366E-3,60.836981871,0.715923367,0.129785247,0.549295775,0
1.72482E-3,61.00946368,0.716162656,0.128851541,0.549295775,0
1.72884E-3,61.35489502,0.71699522,0.126984127,0.549295775,0
1.72991E-3,61.527886257,0.717216437,0.12605042,0.563380282,0
1.77269E-3,61.881497118,0.72591202,0.124183007,0.563380282,0
1.77333E-3,62.058830286,0.726040645,0.1232493,0.563380282,0
1.78792E-3,62.416272525,0.728943666,0.121381886,0.563380282,0
1.79853E-3,62.596125736,0.731035343,0.120448179,0.563380282,0
1.81897E-3,62.778022634,0.735018963,0.119514472,0.563380282,0
1.82936E-3,63.143092127,0.73702101,0.117647059,0.563380282,0
1.84231E-3,63.327322917,0.739496148,0.116713352,0.563380282,0
1.8437E-3,63.511692918,0.739760797,0.115779645,0.563380282,0
1.84591E-3,63.880702496,0.740179781,0.113912232,0.563380282,0
1.8478E-3,64.065482871,0.740539384,0.112978525,0.577464789,0
1.85178E-3,64.250660817,0.741291458,0.112044818,0.591549296,0
1.86144E-3,64.622317075,0.74310966,0.110177404,0.591549296,0
1.86912E-3,64.809228662,0.744545541,0.109243697,0.591549296,0
1.87883E-3,65.184576997,0.746350622,0.107376284,0.591549296,0
1.90775E-3,65.375352405,0.751651513,0.106442577,0.591549296,0
1.90796E-3,65.566148446,0.751688921,0.10550887,0.591549296,0
1.92966E-3,65.759114939,0.755592962,0.104575163,0.591549296,0
1.95631E-3,66.150026207,0.760302067,0.10270775,0.591549296,0
1.98296E-3,66.348322484,0.764921315,0.101774043,0.591549296,0
2.00116E-3,66.54843856,0.768024152,0.100840336,0.605633803,0
2.02764E-3,66.951970903,0.772465598,0.098972923,0.605633803,0
2.03599E-3,67.155570254,0.773849531,0.098039216,0.605633803,0
2.04068E-3,67.359638161,0.774621892,0.097105509,0.605633803,0
2.05757E-3,67.565395065,0.777384188,0.096171802,0.605633803,0
2.05954E-3,67.771349434,0.777704915,0.095238095,0.605633803,0
2.07542E-3,68.186271402,0.78026659,0.093370682,0.605633803,0
2.077E-3,68.393971755,0.780520764,0.092436975,0.605633803,0
2.08578E-3,68.60254995,0.781923008,0.091503268,0.605633803,0
2.08973E-3,68.811522474,0.78254998,0.090569561,0.605633803,0
2.09323E-3,69.020845233,0.783105331,0.089635854,0.605633803,0
2.09837E-3,69.440324908,0.783918775,0.087768441,0.605633803,0
2.10371E-3,69.650696381,0.784759764,0.086834734,0.605633803,0
2.10957E-3,69.861653045,0.785677456,0.085901027,0.61971831,0
2.11657E-3,70.073310113,0.786770687,0.08496732,0.61971831,0
2.11912E-3,70.285222293,0.787167492,0.084033613,0.61971831,0
2.12016E-3,70.709155847,0.787329016,0.0821662,0.61971831,0
2.12251E-3,70.921407157,0.787693837,0.081232493,0.61971831,0
2.14209E-3,71.135615868,0.790706478,0.080298786,0.61971831,0
2.1606E-3,71.351676307,0.793517115,0.079365079,0.61971831,0
2.16657E-3,71.568332993,0.794414069,0.078431373,0.61971831,0
2.16837E-3,71.785170075,0.794684676,0.077497666,0.61971831,0
2.1688E-3,72.002049699,0.79474844,0.076563959,0.61971831,0
2.22502E-3,72.442878844,0.803003689,0.074696545,0.61971831,0
2.26798E-3,72.66967692,0.80908696,0.073762838,0.61971831,0
2.29353E-3,72.899030391,0.81261597,0.072829132,0.61971831,0
2.30107E-3,73.129137391,0.813644088,0.071895425,0.61971831,0
2.31612E-3,73.360749201,0.815680407,0.070961718,0.633802817,0
2.31675E-3,73.592424608,0.815765975,0.070028011,0.647887324,0
2.35616E-3,73.828041048,0.820991754,0.069094304,0.647887324,0
2.3711E-3,74.065150886,0.82293303,0.068160598,0.661971831,0
2.41187E-3,74.306338378,0.828127049,0.067226891,0.661971831,0
2.44488E-3,74.550826545,0.832219581,0.066293184,0.661971831,0
2.44583E-3,74.795409458,0.832335608,0.065359477,0.661971831,0
2.44977E-3,75.040386546,0.832817455,0.06442577,0.661971831,0
2.45922E-3,75.286308638,0.833967016,0.063492063,0.661971831,0
2.4917E-3,75.535478409,0.837857762,0.062558357,0.661971831,0
2.49367E-3,75.7848451,0.838090721,0.06162465,0.661971831,0
2.49673E-3,76.034517912,0.838452201,0.060690943,0.676056338,0
2.51013E-3,76.28553089,0.840025246,0.059757236,0.690140845,0
2.51496E-3,76.537026903,0.840588454,0.058823529,0.704225352,0
2.51919E-3,76.788945971,0.841080098,0.057889823,0.718309859,0
2.54999E-3,77.043944857,0.844613832,0.056956116,0.718309859,0
2.56823E-3,77.300767823,0.846669591,0.056022409,0.718309859,0
2.58097E-3,77.558864327,0.848088736,0.055088702,0.718309859,0
2.59997E-3,77.818861378,0.850182191,0.054154995,0.732394366,0
2.69923E-3,78.08878433,0.860655783,0.053221289,0.732394366,0
2.71449E-3,78.36023289,0.86219933,0.052287582,0.746478873,0
2.79329E-3,78.639562336,0.869904743,0.051353875,0.746478873,0
2.826E-3,78.92216221,0.872974441,0.050420168,0.746478873,0
2.84871E-3,79.207033144,0.875063392,0.049486461,0.746478873,0
2.85977E-3,79.493009807,0.876067988,0.048552754,0.746478873,0
2.86795E-3,79.779804816,0.87680628,0.047619048,0.76056338,0
2.90514E-3,80.070319301,0.880106865,0.046685341,0.76056338,0
